"label,""tweet"""
"positive,""Gunakan semua voucher yg ada, kalo di jakarta pake traveloka eats, diskonnya edan."""
"negative,""Traveloka eats ongkirnya mahal min ????????"""
"negative,""setelah ditolak shopee 2x, grab juga ga dpt trs driver, akhirnya bs pake traveloka eats, meskipun udhga promo kek dlu tp yaudahlah udah lapar brutal ??????"""
"negative,""Beli tiket jauh2 di traveloka, jadwal penerbangan di majuin pihak maskapai tapi pihak traveloka gak ngai tau..telpon ke CS traveloka jawabannya gak jelas, dikit2 ""mohon ditunggu"", telpon pakai pulsa cuyyyyy.... #travelokakecewa @traveloka"""
"positive,""Wah padahal di saya shopeefood itu dibawah 20% dan Traveloka eats dibawah 15% loh. Yg paling gede itu grabfood 20%. Gofood sekitar 15-20%, gofood paling ribet hitungannya. Paling utung via Traveloka"""
"negative,""skrg diskonan gofood shopeefood travelokaeats udah ga sebanyak dulu ??"""
"negative,""Hype Traveloka eats diawal saja, sekarang sudah berkurang, terakhir awal bulan puasa masih order Traveloka mart karena masih ada diskon + gratis ongkir."""
"negative,""Promo eats ada cuma gk banyak itu pun harus pembayaran tertentu (credit card), sebelum Traveloka punya driver sendiri, sya jg sering ambil orderan eats dari lalamove, waktu itu masih promo diskon 50-70% + gratis ongkir sampe 12 km."""
"positive,""pake travelokaeats lah! pas mudik gada travelokaeats shock liat ongkir pdhl dkt bgt"""
"negative,""Yang traveloka kok lama banget alasan selalu menghubungi pihak maskapai... Membodohi penumpang ... Kan kasian penumpang yang bener2 butuh dananya kembali bisa buat kebutuhan hidup... Parah sih traveloka .. mengecewakan ..semua refund spesialist berlindung di blkg cust.service"""
"negative,""Skrgg jgn ngarep recehan lg??apalagi kotaku blm terjangkau traveloka eats, happy fresh, tokopedia now dll jd cm ngandelin itu-itu aja??"""
"negative,""Oh traveloka eats transfer seminggu sekali ya? Aku gasadar selama ini karena order terbanyak dari gojek sih si TE sehari cuma 1-5 wkwkwk berat juga ya yg utamain pake TE ini, atleast ga meres mitra lah jadi masih ada plusnya"""
"negative,""Dan inilah masa di mana diskon Travelokaeats cuma 10% ditambah ongkirnya ga ada free freenya"""
"negative,""Memasuki masa - masa mengheningkan cipta untuk mengenang diskon 75% + free ongkir Travelokaeats ??"""
"negative,""traveloka eats jadi mehonggg cedide"""
"positive,""Rp 79.000 for a very meh tasting black pepper filling chicken katsu + curry??? glad that i bought this with traveloka eats."""
"negative,""traveloka eats better stop doing this corny shit"""
"positive,""Thanks, Traveloka Eats!"""
"positive,""one thing i love about @traveloka eats selain discountsnya!"""
"negative,""Traveloka Eats make me ??"""
"positive,""In love with traveloka eats??"""
"negative,""Nyobain traveloka eats???so frustrating ??"""
"positive,""Traveloka Eats > Anything else."""
"positive,""Thankyou traveloka eats promonya ??"""
"positive,""love u @ traveloka eats"""
"negative,""traveloka eats pls bring back the discounts and promos!! im broke asf"""
"positive,""alhamdulillah traveloka eats, where have i been?! ??"""
"positive,""Grabfood down, masih ada gofood, shopeefood, traveloka eats."""
"negative,""traveloka eats so pelit"""
"positive,""Pake traveloka eats dong."""
"negative,""rest in peace diskon super mega wow shopeefood dan traveloka eats you will be missed #flyhigh"""
"positive,""thank u traveloka eats ??"""
"negative,""traveloka eats sampahhhhhh"""
"positive,""so, traveloka eats. Hit me right back when I can purchase shihlin in 60k again."""
"positive,""luv traveloka eats"""
"negative,""traveloka eats payahhhhh payah ga recomended lol"""
"positive,""delivery fee traveloka eats gokil bgt:("""
"negative,""Traveloka Eats Down"""
"negative,""traveloka eats error ??"""
"positive,""Traveloka eats mantep deh"""
"positive,""Broke but still order traveloka eats 5 times a day"""
"positive,""the power of traveloka eats, 50k bisa buat 3x makan (ongkir included)"""
"positive,""Diskon traveloka eats manteepppp"""
"positive,""Wow traveloka eats disc 60% no minimal order ??"""
"positive,""I love you traveloka eats"""
"positive,""Traveloka eats lg promo gees"""
"positive,""Also, there are so many promos for food, Payday week is 25-30 every month, during that week there're so many discounts for food on Gofood, grabfood, shopeefood, and traveloka eats."""
"positive,""Mending traveloka eats ??"""
"negative,""Traveloka nya bagus lohhh, entah dia anak tiri apa gimana tapi Traveloka Eats jelek banget sistemnya not recommended, and definately will not use it anymore except there will be improvement."""
"negative,""@traveloka when I applied coupon in Traveloka Eats, a system error message occured. What happened?"""
"positive,""try traveloka eats, so many promo"""
"positive,""traveloka eats emang mantep banget"""
"positive,""Traveloka eats is lyfe now bestie"""
"positive,""traveloka makan diskon 70% up to 30k bos"""
"positive,""PSA: promo di traveloka eats banyak loh diskon up to 70% tanpa minimal pembelian ??"""
"positive,""Pake traveloka eats byr murahh"""
"positive,""Order dessers and Coffee, karena ada Diskon 60% + GRATIS ongkir pake traveloka eats delivery"""
"positive,""promo travelokaeats gila-gilaan!????"""
"positive,""travelokaeats top markotop"""
"positive,""Moodbooster dr travelokaeats ??"""
"positive,""asli Traveloka bikin happy muluuu, apalagi skarang ada diskon EPIC Sale Traveloka Xperience sampe 80% itu gas banget buat kesana"""
"positive,""dapatkan diskon 50rb + pengiriman gratis hanya di travelokaeats @traveloka ??"""
"positive,""pls mantep nih Epic Sale dari Traveloka Xperience, diskon gede banget jadi pgn jalan2"""
"positive,""bener2 deh ini Epic Sale dari Traveloka Xperience ga ragu2 ngasih diskon gede banget, asik ni kl mw healing"""
"negative,""Travelokaeats lagi down ??"""
"positive,""hail to travelokaeats ??????"""
"negative,""Traveloka Eats jadi mahal banget yak. Promonya dikit pula wkwkwk"""
"positive,""Travelokaeats emang the best ??"""
"positive,""paling oke traveloka sih menurutku"""
"positive,""mengerti ???? lov uu travelokaeats!!!"""
"negative,""Ribet ah travelokaeats gabisa cash:("""
"positive,""travelokaeats mantul ??"""
"negative,""Travelokaeats lucu bat, bayar pake transfer bank, chat driver pake wa"""
"negative,""ga lagi2 deh gue pake eats deliverynya traveloka. Bikin emosi terus."""
"positive,""aah langkah yang bagus, Lawless! ga sabar order dari TravelokaEats #tetep :p"""
"positive,""my love for travelokaeats and shopeefood r countless"""
"negitive,"" traveloka eat promonya makin gak menarik, auto uninstall"""
"positive,""Saya suka travelokaeats ?"""
"positive,""travelokaeat racun banget"""
"positive,""Travelokaeats is a BLESSING"""
"negative,""RIP free delivery on travelokaeats this is where we part"""
"negative,""traveloka eat anehh dh diskon 25rb tp 13 rb buat ongkir mahal bett woii"""
"positive,""promo grabfood sama travelokaeats gokill"""
"positive,""Need your magic to share and like about this @travelokaeats new program"""
"negative,""gajelas anying travelokaeats"""
"negative,""Goodbye grabfood, shopefood,travelokaeats :"")"""
"positive,""hebat ini travelokaeats ...... i'll be able to eat hotteok from that pik cafe in the comfort of my bed"""
"positive,""?????can travelokaeats adds tipping feature"""
"positive,""shopeefood & travelokaeats ftw!"""
"positive,""MEMBULAT BERSAMA CICI FOODBLOGGER CETAR!!! ?? THANK YOU CI @nanaspotlite & travelokaeats ??"""
"negative,""Ignore my tweet since last night I really have nothing to do. @traveloka @travelokaeats really get into my nerve with their customer service #jgnpaketravelokaeats a big app without risk mitigation, and brand identity crisis without innovation"""
"positive,""nah makanya, travelokaeats to the rescue ??"""
"positive,""terimakasih travelokaeats, because the promo is always available :)"""
"positive,""Welcome to travelokaeats ?? free ongkir min beli 40rb"""
"negative,""@traveloka Hi Traveloka please check DM. There???s an error in my travelokaeats purchase"""
"positive,""pake travelokaeats bun, promo 50%"""
"positive,""travelokaeats mantap ??????"""
"negative,""Oh I measn it is for my friends please igonre my tweet to @traveloka @travelokaeats . I only use traveloka for 5 times. I'm gonna make sure too this is going to be last."""
"positive,Travelokaeats juga mantep"""
"positive,""Shopeefood travelokaeats ftw"""
"positive,""travelokaeats jg no play play"""
"positive,""Beli dear butter only 0 rupiah from #Travelokaeats thank chuuuu ??"""
"positive,""50% extra discount with 'MakanMewah' code on #travelokaeats, got this one for Rp 31"""
"positive,""Super deals by @traveloka and they have a lot of coupons to be used for! Thank you, Traveloka! Tinggal menunggu makanan dan ayo kita review nanti. #travelokaeats"""
"positive,""Lagi iseng2 nyoba #travelokaeats taunya bayar Rp 0 pake kode promo ANAKMICIN dan redeem point. Ga nyangka itu points berguna juga"""
"positive,""Oh iya yang belum pernah pesen di traveloka eats coba pake kode ini deh mayan 50% discount loh udh gitu free ongkir loh traveloka eats #traveloka #travelokaeats"""
"positive,""Pesen lauknya aja dari DailyBox. id via @traveloka EATS ???? #travelokaeats #kuliner"""
"negative,""Dicancel dua kali, terus nunggu refund beberapa hari. Kalo buat buka puasa ripuh. @traveloka #travelokaeats"""
"positive,""Dear kelen kaum gajian. Nih @traveloka eats 50rebu, diskon 20ribu. Yeap, oke. You are welcome. #TravelokaEats #Tajir"""
"positive,""4 boba cuma 29ribu belinya di bube via @traveloka masukin kode ""EATSBUDDYINDRIYANIB6"" dapetin diskon 70% maks 50k tanpa minimal beli buat pengguna baru.. #TravelokaEats"""
"negative,""Traveloka eats skg uda ada ongkir.. Ku tak bisa jajang deh #mengsedih kwkwk #travelokaeats"""
"positive,""Beli dcrepes di #TravelokaEats 8 buah cuma bayar 100k. Thank you @traveloka !!!"""
"negative,""Your apps constantly crashing @traveloka this is what you get for trying to be a super app. Pick a fucking lane."""
"positive,""Nice marketing @traveloka"""
"negative,""halo @traveloka kenapa saya setiap order traveloka eats ada aja masalahnya yang orderan saya kurang, malam ini beli martabak gosong"""
"positive,""I don't get why @tiket doesn't show the cabin baggage given by airlines like @traveloka"""
"positive,""Traveloka's notification is always succeeded to freaking me out"""
"positive,""Traveloka dah paing the best dah"""
"negative,""if you ever heard this from me, im sorry. i wish you years without traffic and never ending promo in gojek, grab, shopeefood, and traveloka eats."""
"negative,""Jangan pesan tiket di @traveloka bikin emosi dan tidak punya tanggung jawab sama sekali #travelokakecewa"""
"negative,""Mas Elon bisa gak sih nge-banned yang model begituan di Twitter. Nyari BO, swing swing apaan lah gak ngerti gue, di Twitter kok semudah nyari tiket pesawat di traveloka."""
"negative,""Pesen tiket di traveloka gak bisa-bisa kenapa deh :( loding mulu padahal koneksi ya bagus"""
"negative,""Yah gak seru sekarang @traveloka ??"""
"positive,""Luv bgt diskonan traveloka eats"""
"positive,""mantap kominfo membangun kerjasama dengan traveloka untuk membangun SDM digital. @PlateJohnny@kemkominfo"""
"negative,""KECEWA BANGET! AIRPORT TRANSFER NYA BIKIN ORANG KETINGGALAN PESAWAT WOY @traveloka , IT???S REALLY NOT RECOMMENDED FOR ANYONE TO ORDER!"""
"negative,""Jahat bet dah traveloka @traveloka udh banyak korbannya ternyata. Uninstal"""
"negative,""Refund dana telah kembali ke paylater saya, namun yg saya herankan masih ada pembayaran cicilan di paylater saya dan nominalnya lumayan mengejutkan buat saya(cukup utk saya dan keluarga sewa hotel lagi nominalnya) . Bisa dijelaskan ini #traveloka saya sangat kecewA"""
"positive,""seminggu sibuk closing sampai rumah cara gue healing cuma browsing2 tiket hotel yg promo, fyi guys traveloka kalo malem diskon nya up to 50% mayan bgt??"""
"negative,""Kecewa Saya. Seumur2 pake @traveloka baru kali ini pilih seat bermasalah."""
"positive,""Traveloka eats destroy both of em"""
"positive,""lg suka bikin konten2 liburan gt sp tau dilirik traveloka. ayo traveloka endorse aku liburan ??"""
"positive,""Traveloka promonya ajib juga xixi"""
"negative,""promo delivery food paling oke saat ini ada di air asia food delivery. maap ya gofood, grabfood, shopeefood dan traveloka eats. aku berpaling dulu""."
"negative,""traveloka tuh lama lama emang ga worth buat jadi trusted OAT. bisa bisanya ngasih PNR yg di ticket beda sama yg di official airlines"""
"negative,""jadi guys, Ini penipuan sudah banyak yang kena karena lansung bayar ke traveloka lansung dan Bersifat Final, Namun kode pesanan tersebut dalam Bentu Voucher gift gtu buat dia terima kasih @traveloka sdah menjelaskan , tnggu saja lah ketangkap Aqilla nya biar tobat"""
"negative,""Kecewa dengan @traveloka"""
"negative,""Tiket.com > Traveloka"""
"negative,""Pesen tiket bioskop lwt mbanking BCA lebih murce drpd traveloka ^^"""
"negative,""Ohh modusnya dia pesen di traveloka abis itu ngajuin refund kali ya... Gilasih penipu akalnya ga abis2"""
"positive,""Mayan nih dapat Krispy Kreme dr traveloka"""
"negative,""RT!!! Udah 2,5 tahun kali ya gue ga pernah pake gofood lagi, soalnya ga ada promo lagi. Selalu pake shopee/grab/traveloka"""
"positive,""Anjay dana refund tiket pesawat di traveloka vepet banget nyampenya, gaada 24 jam udh ditransfer"""
"negative,""@traveloka saya baru aja reschedule tiket pesawat, sekarang tidak bisa melakukan online check in dan dari web maskapai katanya terjadi kesalahan tiket. Tolong dibantu"""
"negative,""kenapa traveloka aneh banget????"""
"positive,""Bener banget itu dok, jangankan bayi kita ja yang dah dewasa kadang kl ketemu temen lama suka di uwel2 di ciumin kek bayi, tp ga khawatir lg sih soalnya kl ada gejala apapun aku bisa langsung konsultasiin ja di Dokter Traveloka Health .."""
"positive,""Aku yg punya ponakan banyak, apalagi masih kecil semua suka gemes pen cubit?? pipinya jadi waspada sekarang kalo ada yg main gendong aja takut apalagi imun bayi kan rendah kulitnya juga sensitif, pengen tau lebih banyak ke Dokter Traveloka Health supaya nanti punya baby udah jelas"""
"negative,""Traveloka eat sepi sekali ygy"""
"negative,""Saya barusan boking tiket. Kok tidak ada kluar halaman tiket seperti biasanya ya melalui email. Hanya ada RECEIPT Saja. mohon pencerahannya Mimin yg amanah."""
"positive,""Bayi emang rentan banget, mana kulitnya juga sensitif kan. Jadi orang tua juga harus lebih waspada, biasanya kk aku suka konsul di Traveloka Health"""
"negative,""traveloka eat jelek dah masa kita bayar terus kalo drivernya gak dapet dapet pesenannya dicancel uangnya direfund perlu waktu lama??? lah orgil"""
"negative,""Hiii aku merchant traveloka eat, mereka ada driver sendiri kok tapi kalau ga dapet drivernya suka di ganti gosend atau lalamove, kadang cepet kadang lama, tergantung drivernya"""
"negative,""traveloka eat promonya makin gak menarik, auto uninstall"""
"negative,""traveloka eat anehh dh diskon 25rb tp 13 rb buat ongkir mahal bett woii"""
"negative,""Jadi inget dulu pesen makanan di traveloka eat. Trs pas mau bayar temen gue yg trfin, udh sejam tggu ko makanan ga dateng2. Eh taunya makanannya ke cancel, tlp lah w ke cs traveloka trs katanya nanti uangnya dibalikin dalam 3 hari kerja"""
"negative,""Traveloka eat banyak bgt bugnya, tolong dibantu @traveloka"""
"positive,""Traveloka eat promo nya ajibb si"""
"positive,""Pake traveloka eat enak deh bisa ga pake plastik.. Jadinya uang bungkus bisa buat abangnya.. Ngebungkus doang 5000.. Pernah beli rejuve bungkus ribet 15rb kali.. Mending kasih abangnya daripada buat tokonya"""
"negative,""@traveloka min travelokaeat eror ya? Ga bisa order..mau beli buat buka"""
"negative,""Is it me or anyone else, pesen pake traveloka eat ini lama banget??????"""
"negative,""traveloka eat gak banget"""
"negative,""Coba traveloka eat dehh, cuma dia ongkir nya gk promo"""
"negative,""@traveloka kapan ada promo eat delivery atau mart lagi sih?? Promo 40% maks 70rb yg kemarin gitu biar puasa tambah seru..."""
"negative,""Ah males udah ga pernah dapet diskon?? pindah ke traveloka eat aja sekarang mah ??"""
"positive,""traveloka eat diskonnya lagi mantap jiwa, makanan 30 rebu, tapi bayarnya cuma 23ribu itu udah sama fee nganter wkwkwkw"""
"positive,""Wah, senangnya bakso bening ada di eat traveloka. Diskonnya banyak! ??"""
"positive,""Pulang kerja jam 9 malam ngasih kabar ke istri saya besok puasa, istri langsung sibuk nyiapin sahur akhirnya beli di traveloka eat sate sama sop...besoknya kita sahur bareng walau istri puasanya mulai besok"""
"negative,""Trauma bgt ajg pake traveloka eat, tbtb pesenan di batalin tp abang drivernya masih bisa ngechat dan katany itu msh ada di dia"""
"negative,""udah dua kali pesan di traveloka eat, makanan gak nyampe tapi uangnya gak direfund, mana dalam 3 hari udan kejadian dua kali kayak gini @traveloka"""
"negative,""ngga lagi2 deh pesen makan di @traveloka eat, diskon emang banyak cuman ga jelas masa driver yg ada dipesanan traveloka pas dihubungi malah salah trus makanan gua sma duitnya kemana dong tolong benerin lagi deh nih @traveloka"""
"negative,""Aku kecewa, kamu berubah travelokaeat ??"""
"negative,""@traveloka min tadi pesan makanan di menu eat delivery traveloka tapi pesanan tidak sesuai no ID 791661983"""
"negative,""Halo @traveloka knp utk refund transaksi canceled eat traveloka harus memakan waktu lama? Knp pd saat kita mau order kita gak boleh telat bayar? Jaman sekarang ini lhooo masa harus menunggu 3-5 hari untuk proses refund?"""
"negative,""pls all resto in my area signup ur acc to travelokaeat i need to eat lot foods with disc only??"""
"negative,""pengen traveloka eat cuma gak ngerti cara pakenya:( gaptek gapernah pake traveloka"""
"positive,""Cinta banget sama eat delivery traveloka ??"""
"negative,""Sebenernya harga di traveloka eat di up bgt wkwk :( jd pake diskon = gratis ongkir doang keitungnya. Gpp lah lumayan:("""
"positive,""Kalo makanan grab bakal makin kalah sih apalagi shopee food,Traveloka eat lg kenceng banget promonya."""
"positive,""pake traveloka eat lebih murah ci"""
"negative,""Pas pertama launching si travelokaeat, flat gratis ongkir kan. Pesen mkn jam 12 mlm, pesen mie aceh. Kita pikir yg biasa langganan kita, deket kan. Pas liat harga ongkir yg di coret, lah 45rebu, lah jauh ternyata. Pesen ampe kaga sadar kerna gretong. Akhirnya ga jd dianter deh??"""
"positive,""Nah, kecuali kek pertama kali bgt mincul tuh taun lalu si traveloka eat, dah mana diskon 50% free ongkir flat lagi. Kan mangtap, ya walaupun kudu pake uangku."""
"positive,""Traveloka eat toop bangett dah ah."""
"negative,""Kenapa @traveloka eat ada ONGKIRNYA?? percuma ada diskon tapi ongkirnya mahal ??"""
"negative,""Coba pesan makanan di @traveloka eat gagal cari driver bukannya sistemnya nyari driver lagi eh malah digagalkan. Refund dananya 2-5 hari lagi... Payah banget"""
"negative,""Wah travelokaeat ngelag"""
"negative,""Ini traveloka eat delivery kenapaaaaaaaa.. aing laperrrrr"""
"positive,""Untung Admin Traveloka Eat aku DM responnya cepat, jadi langsung di bantu di ganti Driver dari System nya. ???? aku diminta tunggu 10-15 menit"""
"negative,""Pengalaman pertama order makanan di Eat Delivery Traveloka. Dapat driver tapi driver minta cancel, alasannya ban bocor. Karna baru pertama kali order gatau gimana cara cancel nya, telepon driver juga katanya dia gabisa cancel. Huuhh bingung banget nih"""
"negative,""traveloka eat anjing"""
"positive,""Ada banyak jenis makanan yang diskon 50%, Diajeng.Langsung ke aplikasi traveloka, di eat delive"""
"positive,""Traveloka eat oke!!"""
"negative,""Tadi ada di fyp, kurir travelokaeat maling paket. Tbtb kepikiran "" serem bgt snjir, jadi takut kalo make jasa beli makanan pake travelokaeat"""
"negative,""@traveloka min saya melakukan pembelian eat & sudah melakukan pembayaran tapi kenapa status pesanan saya tidak ada ?"""
"positive,""Traveloka eat, jd kebanggaan sejauh ini selain shopeefood. 

Abis makan terbitlah ngantuk. 

00.12"""
"negative,""So, hari ini gua ngebiarin makanan gua gk datng. Jdi gua pesen makan di travelokaeat gitu, di app suka otomatis ke detek alamat sendiri. Kostan gua emang belum ke daftar gitu, jdi gua biarin app nya sendiri. Ntar kalo kurir nya nanya gua kasih patokan sama nama kostannya."""
"negative,""Mo pesen traveloka eat udh tak ada diskon deliv"""
"negative,""Maem sushi yay terus pesennya di Traveloka eat, diskonnya Mayan bun"""
"negative,""Setiap eat delivery lewat traveloka lama buangeeet nyampenyaaaa. Capek hati ??????"""
"negative,""traveloka eat delivery you stingy bastard"""
"negative,""Aku mau daftar eat traveloka, udah 2bulan belum kelar kelar"""
"positive,""Thanks traveloka eat aku dapet slice cake first love pattesiere sama nasi padang sederhana cuma 40rb :"")"""
"positive,""Terima kasih traveloka eat sudah membantu anak kos ini setahun ke belakang @traveloka"""
"negative,""Shopeefood, grabfood, travelokaeat, gofood KALIAN SEMUA SUDAH BERUBAH!"""
"positive,""Mantap sekali travelokaeat y."""
"negative,""Traveloka eat knp ada ongkirnya ??"""
"positive,""Traveloka Eat dong hahaha"""
"negative,""Mohon maap walaupun sudah diskon, tetep mahal anjir kalo beli di sopifud atau traveloka eat :(("""
"positive,""Sama2, aku udah lama pake traveloka, mau flight, staycation, apalagi ditambah eat delivery sangat memudahkan ?? thank you very much!!!"""
"negative,""udah lumayan lama kan promonya? ga heran kalau udah beres fase bakar uangnya. traveloka eat lagi bakar uang juga tuh btw"""
"negative,""Saatnya uninstal traveloka karna eat delivery nya udha ga gratis ongkir :( di sini jarang ada makanan deket, mahal banget. Yang 0,2 km aja ongkirnya 10k. Menangis."""
"negative,""Orderan udah gw kelarin Ki, karena di resto dan di Customer gw udah confirm utk memastikan semua udah ok????Foto, cekrek selesaiw jalan, customer nelpon wa gwMantap, dari awal gw sudah dugaTraveloka emang gak beres"""
"negative,""@traveloka Lu O.K ???????????"""
"negative,""ohhh travelokaeat udh ga freedelivery ya????"""
"negative,""travelokaeat udh ada ongkir??"""
"positive,""Aku wes pindah traveloka eat. Shopee food remukk"""
"negative,""Pake traveloka eat katanya potongan 50 %"""
"negative,""@traveloka halo min, traveloka eat delivery max itu 12km kan ya rangenya? sy pesan di resto dibawah 10km knp keluar tulisan diluar range ya?
Thank you"""
"positive,""Pake traveloka eat lg promo"""
"positive,""thx u traveloka eat, jadi bisa makan ayam 3 hari berturut2"""
"negative,""KONTOLLLL TRAVELOKA EAT KONTOL"""
"negative,""@traveloka halo min bisa cek dm saya pesen traveloka eat bayar pake bca one klik tapi kenapa dana nya terpotong 2x ya?"""
"positive,""Cobain son, pake traveloka eat diskon"""
"negative,""bete promo skrg udah pada turun, shopeefood jd 50%, traveloka eat jd 40%?? 10% sangat berarti wkwkw"""
"positive,""Terima kasih @traveloka sudah ada menu eat delivery nya, sangat membantu bangetttttttt disaat lapar??????"""
"positive,""wow mayan juga ya diskonan traveloka eat"""
"positive,""Tulbetul ini Traveloka eat diskonnya Ndak kaleng kaleng ????"""
"negative,""Cuma mau ngasih tau. Traveloka eat delivery tuh freeong sampai 12km udah gitu ada kupon minimal belanja 40 dan 100rb ??????"""
"negative,""Ini @traveloka CS nya emg lg super slow respond apa gimana yak? Kemarin order eat delivery pembayaran via debit BCA, error ampe 2x dan saldo kepotong tp transaksi ga ada dibilang sukses, malah masih menunggu pembayaran ampe expired."""
"negative,""@traveloka Halooo, mau nanya dong ini kenapa ya banyak keluhan tentang oneklik bca yang sudah bayar tapi transaksinya tidak berlanjut? Saya juga seperti ini, sudah bayar dan terpotong di oneklik untuk eat delivery tapi pesanannya malah di bilang time expired, gimana yaaa"""
"positive,""Cuss order pake Traveloka Eat mbak, ada promo mayan"""
"negative,""Emg lama Kak. Aku kmrn hampir 1 jam ?? di cancel 3x sm driver gosend dr gojek. Krna traveloka eat ga pnya kurir sendiri, kl ga lalamove ya dr gojek kurirnya."""
"negative,""Kemarin saya transaksi di @traveloka eat melalui oneklik @HaloBCA hanya ada 1x transaksi, tapi di BCA saya terpotong 2x, saya mau komplain kemana ya? Makasih...."""
"negative,""@traveloka @HaloBCA mau bayar traveloka eat pake oneklik kan lumayan diskon 50% tapi kenapa kode otpnya gak dikirim2 dari bca ya ??? ??"""
"positive,""Coba Traveloka eat diskon nya ngajak Bercanda ????"""
"positive,""Jajan yg banyakan enakan di Traveloka eat. Maksimal diskonnya lebih tinggi ??"""
"positive,""Jumat . Sabtu . Minggu ... di kasih makan sama traveloka eat edisi mager masak dikarenakan cabe mahal ?????? terimakasih promonya @traveloka??????"""
"negative,""tapi traveloka eat nda user friendly bun, apps nya masih ribet nda segampang sopipud"""
"positive,""Terus diskon traveloka eat 40% jadi 25ribu sekiansekian..."""
"positive,""Sembako lagi pada naik, serumah berdua aja, dahlah aku memanfaatkan promo2 dari @GrabID @gojekindonesia travelokaeat aja"""
"negative,""Saya pesen makan di travelok eat, udh di transfer. Tp malah gagal, terus uang ku kemana? Cs di aplikasi ga respon??????? @traveloka"""
"negative,""Dah 3x make traveloka eat, masi belum paham ini konsepnya tuh gimana, kok driver yang nganter beda2 terus. Ada gosend, lalamove ada yang traveloka gituu wkwkwk"""
"positive,""Asli murah bat pesen makan lewat travelokaeat KWKWKW mayan diskonny ??"""
"negative,""pesen traveloka eat, ampe 5 kali ganti alias di cancel kurir"""
"positive,""traveloka eat, pengguna baru diskonnya gede"""
"negative,""@traveloka min bales dm ya. Pesen eat traveloka driver cancel udah sejam gada kejelasan, kasian juga tadi resto telpon nungguin pick"""
"positive,""Wah anda juga merasakan nikmatnya ya? Siap otw traveloka eat nih saya bun hahahaha."""
"positive,""Diantara tempat jual makanan online, jujurr traveloka eat paling menguntungkan ??"""
"negative,""Dear @traveloka saya complaint traveloka eat dijawab akan direspon dalam 15 menit tp ini sudah lebih tidak ad yg respon complaint saya. Makanan saya sudah 2 jam belum sampai."""
"negative,""@traveloka minnn ko traveloka eat verifikasi pembayaran lama bgt si"""
"positive,""Via traveloka eat, mayan dpt diskon"""
"negative,""Gue pesen makan di traveloka eat kaget bayarnya bukan pake va tapi bener2 transfer manual wqwq trus ada kode unik nya gt KAYA 2012 GK SIE aneh bgt di mutasi gue ada trf ke pt trinusa travelindo ????"""
