index,count word,label,tweet;
"30,32,negative,""Beli tiket jauh2 di traveloka, jadwal penerbangan di majuin pihak maskapai tapi pihak traveloka gak ngai tau..telpon ke CS traveloka jawabannya gak jelas, dikit2 mohon ditunggu.  telpon pakai pulsa cuyyyyy....  #travelokakecewa @traveloka""";
"31,31,positive,""Wah padahal di saya shopeefood itu dibawah 20% dan Traveloka eats dibawah 15% loh. Yg paling gede itu grabfood 20%. Gofood sekitar 15-20%, gofood paling ribet hitungannya. Paling utung via Traveloka""";
32,10,negative,skrg diskonan gofood shopeefood travelokaeats udah ga sebanyak dulu ??;
"33,23,negative,""Hype Traveloka eats diawal saja, sekarang sudah berkurang, terakhir awal bulan puasa masih order Traveloka mart karena masih ada diskon + gratis ongkir.""";
"34,38,negative,""Promo eats ada cuma gk banyak itu pun harus pembayaran tertentu (credit card), sebelum Traveloka punya driver sendiri, sya jg sering ambil orderan eats dari lalamove, waktu itu masih promo diskon 50-70% + gratis ongkir sampe 12 km.""";
35,13,positive,pake travelokaeats lah! pas mudik gada travelokaeats shock liat ongkir pdhl dkt bgt;
36,37,negative,Yang traveloka kok lama banget alasan selalu menghubungi pihak maskapai... Membodohi penumpang ... Kan kasian penumpang yang bener2 butuh dananya kembali bisa buat kebutuhan hidup... Parah sih traveloka .. mengecewakan ..semua refund spesialist berlindung di blkg cust.service;
"37,20,negative,""Skrgg jgn ngarep recehan lg??apalagi kotaku blm terjangkau traveloka eats, happy fresh, tokopedia now dll jd cm ngandelin itu-itu aja??""";
"38,40,negative,""Oh traveloka eats transfer seminggu sekali ya? Aku gasadar selama ini karena order terbanyak dari gojek sih si TE sehari cuma 1-5 wkwkwk berat juga ya yg utamain pake TE ini, atleast ga meres mitra lah jadi masih ada plusnya""";
39,15,negative,Dan inilah masa di mana diskon Travelokaeats cuma 10% ditambah ongkirnya ga ada free freenya;
40,15,negative,Memasuki masa - masa mengheningkan cipta untuk mengenang diskon 75% + free ongkir Travelokaeats ??;
41,5,negative,traveloka eats jadi mehonggg cedide;
42,22,positive,Rp 79.000 for a very meh tasting black pepper filling chicken katsu + curry??? glad that i bought this with traveloka eats.;
43,8,negative,traveloka eats better stop doing this corny shit;
"44,3,positive,""Thanks, Traveloka Eats!""";
45,9,positive,one thing i love about @traveloka eats selain discountsnya!;
46,5,negative,Traveloka Eats make me ??;
47,5,positive,In love with traveloka eats??;
48,5,negative,Nyobain traveloka eats…so frustrating ??;
49,5,positive,Traveloka Eats > Anything else.;
50,5,positive,Thankyou traveloka eats promonya ??;
51,5,positive,love u @ traveloka eats;
52,12,negative,traveloka eats pls bring back the discounts and promos!! im broke asf;
"53,8,positive,""alhamdulillah traveloka eats, where have i been?! ??""";
"54,8,positive,""Grabfood down, masih ada gofood, shopeefood, traveloka eats.""";
55,4,negative,traveloka eats so pelit;
56,4,positive,Pake traveloka eats dong.;
57,16,negative,rest in peace diskon super mega wow shopeefood dan traveloka eats you will be missed #flyhigh;
58,5,positive,thank u traveloka eats ??;
59,3,negative,traveloka eats sampahhhhhh;
"60,15,positive,""so, traveloka eats. Hit me right back when I can purchase shihlin in 60k again.""";
61,3,positive,luv traveloka eats;
62,7,negative,traveloka eats payahhhhh payah ga recomended lol;
63,6,positive,delivery fee traveloka eats gokil bgt:(;
64,3,negative,Traveloka Eats Down;
65,4,negative,traveloka eats error ??;
66,4,positive,Traveloka eats mantep deh;
67,10,positive,Broke but still order traveloka eats 5 times a day;
"68,12,positive,""the power of traveloka eats, 50k bisa buat 3x makan (ongkir included)""";
69,4,positive,Diskon traveloka eats manteepppp;
70,9,positive,Wow traveloka eats disc 60% no minimal order ??;
71,5,positive,I love you traveloka eats;
72,5,positive,Traveloka eats lg promo gees;
"73,30,positive,""Also, there are so many promos for food, Payday week is 25-30 every month, during that week there're so many discounts for food on Gofood, grabfood, shopeefood, and traveloka eats.""";
74,4,positive,Mending traveloka eats ??;
"75,30,negative,""Traveloka nya bagus lohhh, entah dia anak tiri apa gimana tapi Traveloka Eats jelek banget sistemnya not recommended, and definately will not use it anymore except there will be improvement.""";
"76,15,negative,""@traveloka when I applied coupon in Traveloka Eats, a system error message occured. What happened?""";
"77,6,positive,""try traveloka eats, so many promo""";
78,5,positive,traveloka eats emang mantep banget;
79,6,positive,Traveloka eats is lyfe now bestie;
80,8,positive,traveloka makan diskon 70% up to 30k bos;
81,15,positive,PSA: promo di traveloka eats banyak loh diskon up to 70% tanpa minimal pembelian ??;
82,5,positive,Pake traveloka eats byr murahh;
"83,15,positive,""Order dessers and Coffee, karena ada Diskon 60% + GRATIS ongkir pake traveloka eats delivery""";
84,3,positive,promo travelokaeats gila-gilaan!????;
85,3,positive,travelokaeats top markotop;
86,4,positive,Moodbooster dr travelokaeats ??;
87,3,positive,me luv travelokaeats;
88,11,positive,dapatkan diskon 50rb + pengiriman gratis hanya di travelokaeats @traveloka ??;
89,5,positive,i ?? sobatwilda x travelokaeats????;
90,5,positive,i sobatwilda x travelokaeats ??????;
91,4,negative,Travelokaeats lagi down ??;
92,4,positive,hail to travelokaeats ??????;
93,2,positive,Travelokaeats miluvvvv;
94,5,positive,Travelokaeats emang the best ??;
95,5,positive,paling oke traveloka sih menurutku;
96,5,positive,mengerti ???? lov uu travelokaeats!!!;
97,5,negative,Ribet ah travelokaeats gabisa cash:(;
98,3,positive,travelokaeats mantul ??;
"99,11,negative,""Travelokaeats lucu bat, bayar pake transfer bank, chat driver pake wa""";
100,2,positive,luv travelokaeats;
"101,12,positive,""aah langkah yang bagus, Lawless! ga sabar order dari TravelokaEats #tetep :p""";
102,8,positive,my love for travelokaeats and shopeefood r countless;
103,2,positive,travelokaeats ??????????;
104,4,positive,Saya suka travelokaeats ?;
105,3,positive,travelokaeat racun banget;
106,4,positive,Travelokaeats is a BLESSING;
107,10,negative,RIP free delivery on travelokaeats this is where we part;
108,2,positive,travelokaeats ??;
109,5,positive,promo grabfood sama travelokaeats gokill;
110,12,positive,Need your magic to share and like about this @travelokaeats new program;
111,3,negative,gajelas anying travelokaeats;
"112,4,negative,""Goodbye grabfood, shopefood,travelokaeats :)""";
113,20,positive,hebat ini travelokaeats ...... i'll be able to eat hotteok from that pik cafe in the comfort of my bed;
114,5,positive,?????can travelokaeats adds tipping feature;
115,4,positive,shopeefood & travelokaeats ftw!;
116,13,positive,MEMBULAT BERSAMA CICI FOODBLOGGER CETAR!!! ?? THANK YOU CI @nanaspotlite & travelokaeats ??;
"117,36,negative,""Ignore my tweet since last night I really have nothing to do. @traveloka @travelokaeats really get into my nerve with their customer service #jgnpaketravelokaeats a big app without risk mitigation, and brand identity crisis without innovation""";
"118,7,positive,""nah makanya, travelokaeats to the rescue ??""";
"119,9,positive,""terimakasih travelokaeats, because the promo is always available :)""";
120,9,positive,Welcome to travelokaeats ?? free ongkir min beli 40rb;
121,13,negative,@traveloka Hi Traveloka please check DM. There’s an error in my travelokaeats purchase;
"122,5,positive,""pake travelokaeats bun, promo 50%""";
123,3,positive,travelokaeats mantap ??????;
124,34,negative,Oh I measn it is for my friends please igonre my tweet to @traveloka @travelokaeats . I only use traveloka for 5 times. I'm gonna make sure too this is going to be last.;
125,3,positive,Travelokaeats juga mantep;
126,3,positive,Shopeefood travelokaeats ftw;
127,5,positive,travelokaeats jg no play play;
128,11,positive,Beli dear butter only 0 rupiah from #Travelokaeats thank chuuuu ??;
"129,14,positive,""50% extra discount with 'MakanMewah' code on #travelokaeats, got this one for Rp 31""";
"130,27,positive,""Super deals by @traveloka and they have a lot of coupons to be used for! Thank you, Traveloka! Tinggal menunggu makanan dan ayo kita review nanti. #travelokaeats""";
131,21,positive,Lagi iseng2 nyoba #travelokaeats taunya bayar Rp 0 pake kode promo ANAKMICIN dan redeem point. Ga nyangka itu points berguna juga;
132,27,positive,Oh iya yang belum pernah pesen di traveloka eats coba pake kode ini deh mayan 50% discount loh udh gitu free ongkir loh traveloka eats #traveloka #travelokaeats;
133,12,positive,Pesen lauknya aja dari DailyBox. id via @traveloka EATS ???? #travelokaeats #kuliner;
"134,15,negative,""Dicancel dua kali, terus nunggu refund beberapa hari. Kalo buat buka puasa ripuh. @traveloka #travelokaeats""";
"135,17,positive,""Dear kelen kaum gajian. Nih @traveloka eats 50rebu, diskon 20ribu. Yeap, oke. You are welcome. #TravelokaEats #Tajir""";
136,24,positive,4 boba cuma 29ribu belinya di bube via @traveloka masukin kode EATSBUDDYINDRIYANIB6 dapetin diskon 70% maks 50k tanpa minimal beli buat pengguna baru.. #TravelokaEats;
137,14,negative,Traveloka eats skg uda ada ongkir.. Ku tak bisa jajang deh #mengsedih kwkwk #travelokaeats;
138,13,positive,Beli dcrepes di #TravelokaEats 8 buah cuma bayar 100k. Thank you @traveloka !!!;
139,21,negative,Your apps constantly crashing @traveloka this is what you get for trying to be a super app. Pick a fucking lane.;
140,3,positive,Nice marketing @traveloka;
"141,20,negative,""halo @traveloka kenapa saya setiap order traveloka eats ada aja masalahnya yang orderan saya kurang, malam ini beli martabak gosong""";
142,15,positive,I don't get why @tiket doesn't show the cabin baggage given by airlines like @traveloka;
143,9,positive,Traveloka's notification is always succeeded to freaking me out;
144,6,positive,Traveloka dah paing the best dah;
"145,26,negative,""if you ever heard this from me, im sorry. i wish you years without traffic and never ending promo in gojek, grab, shopeefood, and traveloka eats.""";
146,15,negative,Jangan pesan tiket di @traveloka bikin emosi dan tidak punya tanggung jawab sama sekali #travelokakecewa;
"147,29,negative,""Mas Elon bisa gak sih nge-banned yang model begituan di Twitter. Nyari BO, swing swing apaan lah gak ngerti gue, di Twitter kok semudah nyari tiket pesawat di traveloka.""";
148,15,negative,Pesen tiket di traveloka gak bisa-bisa kenapa deh :( loding mulu padahal koneksi ya bagus;
149,6,negative,Yah gak seru sekarang @traveloka ??;
150,5,positive,Luv bgt diskonan traveloka eats;
151,11,positive,mantap kominfo membangun kerjasama dengan traveloka untuk membangun SDM digital. @PlateJohnny@kemkominfo;
"152,20,negative,""KECEWA BANGET! AIRPORT TRANSFER NYA BIKIN ORANG KETINGGALAN PESAWAT WOY @traveloka , IT’S REALLY NOT RECOMMENDED FOR ANYONE TO ORDER!""";
153,10,negative,Jahat bet dah traveloka @traveloka udh banyak korbannya ternyata. Uninstal;
"154,40,negative,""Refund dana telah kembali ke paylater saya, namun yg saya herankan masih ada pembayaran cicilan di paylater saya dan nominalnya lumayan mengejutkan buat saya(cukup utk saya dan keluarga sewa hotel lagi nominalnya) . Bisa dijelaskan ini #traveloka saya sangat kecewA""";
"155,26,positive,""seminggu sibuk closing sampai rumah cara gue healing cuma browsing2 tiket hotel yg promo, fyi guys traveloka kalo malem diskon nya up to 50% mayan bgt??""";
156,11,negative,Kecewa Saya. Seumur2 pake @traveloka baru kali ini pilih seat bermasalah.;
157,6,positive,Traveloka eats destroy both of em;
158,16,positive,lg suka bikin konten2 liburan gt sp tau dilirik traveloka. ayo traveloka endorse aku liburan ??;
159,5,positive,Traveloka promonya ajib juga xixi;
"160,24,negative,""promo delivery food paling oke saat ini ada di air asia food delivery. maap ya gofood, grabfood, shopeefood dan traveloka eats. aku berpaling dulu.""";
161,24,negative,traveloka tuh lama lama emang ga worth buat jadi trusted OAT. bisa bisanya ngasih PNR yg di ticket beda sama yg di official airlines;
"162,42,negative,""jadi guys, Ini penipuan sudah banyak yang kena karena lansung bayar ke traveloka lansung dan Bersifat Final, Namun kode pesanan tersebut dalam Bentu Voucher gift gtu buat dia terima kasih @traveloka sdah menjelaskan , tnggu saja lah ketangkap Aqilla nya biar tobat""";
163,3,negative,Kecewa dengan @traveloka;
164,3,negative,Tiket.com > Traveloka;
165,11,negative,Pesen tiket bioskop lwt mbanking BCA lebih murce drpd traveloka ^^;
166,17,negative,Ohh modusnya dia pesen di traveloka abis itu ngajuin refund kali ya... Gilasih penipu akalnya ga abis2;
167,7,positive,Mayan nih dapat Krispy Kreme dr traveloka;
"168,20,negative,""RT!!! Udah 2,5 tahun kali ya gue ga pernah pake gofood lagi, soalnya ga ada promo lagi. Selalu pake shopee/grab/traveloka""";
"169,15,positive,""Anjay dana refund tiket pesawat di traveloka vepet banget nyampenya, gaada 24 jam udh ditransfer""";
"170,24,negative,""@traveloka saya baru aja reschedule tiket pesawat, sekarang tidak bisa melakukan online check in dan dari web maskapai katanya terjadi kesalahan tiket. Tolong dibantu""";
171,4,negative,kenapa traveloka aneh banget????;
"172,43,positive,""Bener banget itu dok, jangankan bayi kita ja yang dah dewasa kadang kl ketemu temen lama suka di uwel2 di ciumin kek bayi, tp ga khawatir lg sih soalnya kl ada gejala apapun aku bisa langsung konsultasiin ja di Dokter Traveloka Health ..""";
"173,46,positive,""Aku yg punya ponakan banyak, apalagi masih kecil semua suka gemes pen cubit² pipinya jadi waspada sekarang kalo ada yg main gendong aja takut apalagi imun bayi kan rendah kulitnya juga sensitif, pengen tau lebih banyak ke Dokter Traveloka Health supaya nanti punya baby udah jelas""";
174,5,negative,Traveloka eat sepi sekali ygy;
175,24,negative,Saya barusan boking tiket. Kok tidak ada kluar halaman tiket seperti biasanya ya melalui email. Hanya ada RECEIPT Saja. mohon pencerahannya Mimin yg amanah.;
"176,24,positive,""Bayi emang rentan banget, mana kulitnya juga sensitif kan. Jadi orang tua juga harus lebih waspada, biasanya kk aku suka konsul di Traveloka Health""";
177,22,negative,traveloka eat jelek dah masa kita bayar terus kalo drivernya gak dapet dapet pesenannya dicancel uangnya direfund perlu waktu lama??? lah orgil;
"178,27,negative,""Hiii aku merchant traveloka eat, mereka ada driver sendiri kok tapi kalau ga dapet drivernya suka di ganti gosend atau lalamove, kadang cepet kadang lama, tergantung drivernya""";
"179,8,negative,""traveloka eat promonya makin gak menarik, auto uninstall""";
180,14,negative,traveloka eat anehh dh diskon 25rb tp 13 rb buat ongkir mahal bett woii;
"181,43,negative,""Jadi inget dulu pesen makanan di traveloka eat. Trs pas mau bayar temen gue yg trfin, udh sejam tggu ko makanan ga dateng2. Eh taunya makanannya ke cancel, tlp lah w ke cs traveloka trs katanya nanti uangnya dibalikin dalam 3 hari kerja""";
"182,8,negative,""Traveloka eat banyak bgt bugnya, tolong dibantu @traveloka""";
183,6,positive,Traveloka eat promo nya ajibb si;
184,31,positive,Pake traveloka eat enak deh bisa ga pake plastik.. Jadinya uang bungkus bisa buat abangnya.. Ngebungkus doang 5000.. Pernah beli rejuve bungkus ribet 15rb kali.. Mending kasih abangnya daripada buat tokonya;
185,11,negative,@traveloka min travelokaeat eror ya? Ga bisa order..mau beli buat buka;
"186,13,negative,""Is it me or anyone else, pesen pake traveloka eat ini lama banget??????""";
187,4,negative,traveloka eat gak banget;
"188,10,negative,""Coba traveloka eat dehh, cuma dia ongkir nya gk promo""";
189,21,negative,@traveloka kapan ada promo eat delivery atau mart lagi sih?? Promo 40% maks 70rb yg kemarin gitu biar puasa tambah seru...;
190,15,negative,Ah males udah ga pernah dapet diskon?? pindah ke traveloka eat aja sekarang mah ??;
"191,19,positive,""traveloka eat diskonnya lagi mantap jiwa, makanan 30 rebu, tapi bayarnya cuma 23ribu itu udah sama fee nganter wkwkwkw""";
"192,11,positive,""Wah, senangnya bakso bening ada di eat traveloka. Diskonnya banyak! ??""";
"193,33,positive,""Pulang kerja jam 9 malam ngasih kabar ke istri saya besok puasa, istri langsung sibuk nyiapin sahur akhirnya beli di traveloka eat sate sama sop...besoknya kita sahur bareng walau istri puasanya mulai besok""";
"194,23,negative,""Trauma bgt ajg pake traveloka eat, tbtb pesenan di batalin tp abang drivernya masih bisa ngechat dan katany itu msh ada di dia""";
"195,25,negative,""udah dua kali pesan di traveloka eat, makanan gak nyampe tapi uangnya gak direfund, mana dalam 3 hari udan kejadian dua kali kayak gini @traveloka""";
"196,37,negative,""ngga lagi2 deh pesen makan di @traveloka eat, diskon emang banyak cuman ga jelas masa driver yg ada dipesanan traveloka pas dihubungi malah salah trus makanan gua sma duitnya kemana dong tolong benerin lagi deh nih @traveloka""";
"197,6,negative,""Aku kecewa, kamu berubah travelokaeat ??""";
198,17,negative,@traveloka min tadi pesan makanan di menu eat delivery traveloka tapi pesanan tidak sesuai no ID 791661983;
199,36,negative,Halo @traveloka knp utk refund transaksi canceled eat traveloka harus memakan waktu lama? Knp pd saat kita mau order kita gak boleh telat bayar? Jaman sekarang ini lhooo masa harus menunggu 3-5 hari untuk proses refund?;
200,20,negative,pls all resto in my area signup ur acc to travelokaeat i need to eat lot foods with disc only??;
201,12,negative,pengen traveloka eat cuma gak ngerti cara pakenya:( gaptek gapernah pake traveloka;
202,7,positive,Cinta banget sama eat delivery traveloka ??;
203,21,negative,Sebenernya harga di traveloka eat di up bgt wkwk :( jd pake diskon = gratis ongkir doang keitungnya. Gpp lah lumayan:(;
"204,15,positive,""Kalo makanan grab bakal makin kalah sih apalagi shopee food,Traveloka eat lg kenceng banget promonya.""";
205,6,positive,pake traveloka eat lebih murah ci;
"206,48,negative,""Pas pertama launching si travelokaeat, flat gratis ongkir kan. Pesen mkn jam 12 mlm, pesen mie aceh. Kita pikir yg biasa langganan kita, deket kan. Pas liat harga ongkir yg di coret, lah 45rebu, lah jauh ternyata. Pesen ampe kaga sadar kerna gretong. Akhirnya ga jd dianter deh??""";
"207,28,positive,""Nah, kecuali kek pertama kali bgt mincul tuh taun lalu si traveloka eat, dah mana diskon 50% free ongkir flat lagi. Kan mangtap, ya walaupun kudu pake uangku.""";
208,6,positive,Traveloka eat toop bangett dah ah.;
209,12,negative,Kenapa @traveloka eat ada ONGKIRNYA?? percuma ada diskon tapi ongkirnya mahal ??;
210,24,negative,Coba pesan makanan di @traveloka eat gagal cari driver bukannya sistemnya nyari driver lagi eh malah digagalkan. Refund dananya 2-5 hari lagi... Payah banget;
211,3,negative,Wah travelokaeat ngelag;
212,7,negative,Ini traveloka eat delivery kenapaaaaaaaa.. aing laperrrrr;
"213,24,positive,""Untung Admin Traveloka Eat aku DM responnya cepat, jadi langsung di bantu di ganti Driver dari System nya. ???? aku diminta tunggu 10-15 menit""";
"214,38,negative,""Pengalaman pertama order makanan di Eat Delivery Traveloka. Dapat driver tapi driver minta cancel, alasannya ban bocor. Karna baru pertama kali order gatau gimana cara cancel nya, telepon driver juga katanya dia gabisa cancel. Huuhh bingung banget nih""";
215,3,negative,traveloka eat anjing;
"216,14,positive,""Ada banyak jenis makanan yang diskon 50%, Diajeng.Langsung ke aplikasi traveloka, di eat delive""";
217,3,positive,Traveloka eat oke!!;
"218,22,negative,""Tadi ada di fyp, kurir travelokaeat maling paket. Tbtb kepikiran  serem bgt snjir.  jadi takut kalo make jasa beli makanan pake travelokaeat.""";
219,18,negative,@traveloka min saya melakukan pembelian eat & sudah melakukan pembayaran tapi kenapa status pesanan saya tidak ada ?;
"220,13,positive,""Traveloka eat, jd kebanggaan sejauh ini selain shopeefood. ";
;
Abis makan terbitlah ngantuk. ;
;
"00.12""";
"221,48,negative,""So, hari ini gua ngebiarin makanan gua gk datng. Jdi gua pesen makan di travelokaeat gitu, di app suka otomatis ke detek alamat sendiri. Kostan gua emang belum ke daftar gitu, jdi gua biarin app nya sendiri. Ntar kalo kurir nya nanya gua kasih patokan sama nama kostannya.""";
222,9,negative,Mo pesen traveloka eat udh tak ada diskon deliv;
"223,11,negative,""Maem sushi yay terus pesennya di Traveloka eat, diskonnya Mayan bun""";
224,11,negative,Setiap eat delivery lewat traveloka lama buangeeet nyampenyaaaa. Capek hati ??????;
225,6,negative,traveloka eat delivery you stingy bastard;
"226,10,negative,""Aku mau daftar eat traveloka, udah 2bulan belum kelar kelar""";
227,17,positive,Thanks traveloka eat aku dapet slice cake first love pattesiere sama nasi padang sederhana cuma 40rb :);
228,13,positive,Terima kasih traveloka eat sudah membantu anak kos ini setahun ke belakang @traveloka;
"229,8,negative,""Shopeefood, grabfood, travelokaeat, gofood KALIAN SEMUA SUDAH BERUBAH!""";
230,4,positive,Mantap sekali travelokaeat y.;
231,6,negative,Traveloka eat knp ada ongkirnya ??;
232,4,positive,Traveloka Eat dong hahaha;
"233,16,negative,""Mohon maap walaupun sudah diskon, tetep mahal anjir kalo beli di sopifud atau traveloka eat :((""";
"234,20,positive,""Sama2, aku udah lama pake traveloka, mau flight, staycation, apalagi ditambah eat delivery sangat memudahkan ?? thank you very much!!!""";
235,21,negative,udah lumayan lama kan promonya? ga heran kalau udah beres fase bakar uangnya. traveloka eat lagi bakar uang juga tuh btw;
"236,27,negative,""Saatnya uninstal traveloka karna eat delivery nya udha ga gratis ongkir :( di sini jarang ada makanan deket, mahal banget. Yang 0,2 km aja ongkirnya 10k. Menangis.""";
"237,34,negative,""Orderan udah gw kelarin Ki, karena di resto dan di Customer gw udah confirm utk memastikan semua udah ok????Foto, cekrek selesaiw jalan, customer nelpon wa gwMantap, dari awal gw sudah dugaTraveloka emang gak beres""";
238,4,negative,@traveloka Lu O.K ???????????;
239,6,negative,ohhh travelokaeat udh ga freedelivery ya????;
240,4,negative,travelokaeat udh ada ongkir??;
241,8,positive,Aku wes pindah traveloka eat. Shopee food remukk;
242,7,negative,Pake traveloka eat katanya potongan 50 %;
"243,25,negative,""@traveloka halo min, traveloka eat delivery max itu 12km kan ya rangenya? sy pesan di resto dibawah 10km knp keluar tulisan diluar range ya?";
"Thank you""";
244,5,positive,Pake traveloka eat lg promo;
"245,11,positive,""thx u traveloka eat, jadi bisa makan ayam 3 hari berturut2""";
246,4,negative,KONTOLLLL TRAVELOKA EAT KONTOL;
247,22,negative,@traveloka halo min bisa cek dm saya pesen traveloka eat bayar pake bca one klik tapi kenapa dana nya terpotong 2x ya?;
"248,6,positive,""Cobain son, pake traveloka eat diskon""";
"249,17,negative,""bete promo skrg udah pada turun, shopeefood jd 50%, traveloka eat jd 40%?? 10% sangat berarti wkwkw""";
"250,14,positive,""Terima kasih @traveloka sudah ada menu eat delivery nya, sangat membantu bangetttttttt disaat lapar??????""";
251,7,positive,wow mayan juga ya diskonan traveloka eat;
252,9,positive,Tulbetul ini Traveloka eat diskonnya Ndak kaleng kaleng ????;
253,21,negative,Cuma mau ngasih tau. Traveloka eat delivery tuh freeong sampai 12km udah gitu ada kupon minimal belanja 40 dan 100rb ??????;
"254,38,negative,""Ini @traveloka CS nya emg lg super slow respond apa gimana yak? Kemarin order eat delivery pembayaran via debit BCA, error ampe 2x dan saldo kepotong tp transaksi ga ada dibilang sukses, malah masih menunggu pembayaran ampe expired.""";
"255,40,negative,""@traveloka Halooo, mau nanya dong ini kenapa ya banyak keluhan tentang oneklik bca yang sudah bayar tapi transaksinya tidak berlanjut? Saya juga seperti ini, sudah bayar dan terpotong di oneklik untuk eat delivery tapi pesanannya malah di bilang time expi""";
"256,9,positive,""Cuss order pake Traveloka Eat mbak, ada promo mayan""";
"257,31,negative,""Emg lama Kak. Aku kmrn hampir 1 jam ?? di cancel 3x sm driver gosend dr gojek. Krna traveloka eat ga pnya kurir sendiri, kl ga lalamove ya dr gojek kurirnya.""";
"258,25,negative,""Kemarin saya transaksi di @traveloka eat melalui oneklik @HaloBCA hanya ada 1x transaksi, tapi di BCA saya terpotong 2x, saya mau komplain kemana ya? Makasih....""";
259,23,negative,@traveloka @HaloBCA mau bayar traveloka eat pake oneklik kan lumayan diskon 50% tapi kenapa kode otpnya gak dikirim2 dari bca ya ??? ??;
260,8,positive,Coba Traveloka eat diskon nya ngajak Bercanda ????;
261,12,positive,Jajan yg banyakan enakan di Traveloka eat. Maksimal diskonnya lebih tinggi ??;
262,22,positive,Jumat . Sabtu . Minggu ... di kasih makan sama traveloka eat edisi mager masak dikarenakan cabe mahal ?????? terimakasih promonya @traveloka??????;
"263,14,negative,""tapi traveloka eat nda user friendly bun, apps nya masih ribet nda segampang sopipud""";
264,8,positive,Terus diskon traveloka eat 40% jadi 25ribu sekiansekian...;
"265,16,positive,""Sembako lagi pada naik, serumah berdua aja, dahlah aku memanfaatkan promo2 dari @GrabID @gojekindonesia travelokaeat aja""";
"266,22,negative,""Saya pesen makan di travelok eat, udh di transfer. Tp malah gagal, terus uang ku kemana? Cs di aplikasi ga respon??????? @traveloka""";
"267,26,negative,""Dah 3x make traveloka eat, masi belum paham ini konsepnya tuh gimana, kok driver yang nganter beda2 terus. Ada gosend, lalamove ada yang traveloka gituu wkwkwk""";
268,11,positive,Asli murah bat pesen makan lewat travelokaeat KWKWKW mayan diskonny ??;
"269,11,negative,""pesen traveloka eat, ampe 5 kali ganti alias di cancel kurir""";
"270,6,positive,""traveloka eat, pengguna baru diskonnya gede""";
"271,21,negative,""@traveloka min bales dm ya. Pesen eat traveloka driver cancel udah sejam gada kejelasan, kasian juga tadi resto telpon nungguin pick""";
